x_position/Potential,0,1,2,3,4,
0.000000,0.000301,0.000350,0.000381,0.000345,0.000353,
0.002004,0.000602,0.000701,0.000761,0.000690,0.000706,
0.004008,0.000903,0.001051,0.001142,0.001035,0.001059,
0.006012,0.001203,0.001401,0.001522,0.001381,0.001412,
0.008016,0.001504,0.001751,0.001903,0.001726,0.001765,
0.010020,0.001805,0.002102,0.002283,0.002071,0.002118,
0.012024,0.002106,0.002452,0.002664,0.002416,0.002471,
0.014028,0.002407,0.002802,0.003044,0.002761,0.002824,
0.016032,0.002708,0.003152,0.003424,0.003106,0.003176,
0.018036,0.003009,0.003503,0.003804,0.003450,0.003529,
0.020040,0.003309,0.003853,0.004184,0.003795,0.003882,
0.022044,0.003610,0.004203,0.004564,0.004140,0.004235,
0.024048,0.003911,0.004554,0.004944,0.004484,0.004587,
0.026052,0.004212,0.004904,0.005324,0.004829,0.004940,
0.028056,0.004513,0.005254,0.005703,0.005173,0.005292,
0.030060,0.004814,0.005604,0.006083,0.005517,0.005644,
0.032064,0.005114,0.005955,0.006462,0.005861,0.005997,
0.034068,0.005415,0.006305,0.006841,0.006205,0.006349,
0.036072,0.005716,0.006655,0.007220,0.006549,0.006701,
0.038076,0.006017,0.007005,0.007599,0.006892,0.007053,
0.040080,0.006318,0.007355,0.007977,0.007236,0.007405,
0.042084,0.006618,0.007706,0.008355,0.007579,0.007756,
0.044088,0.006919,0.008056,0.008734,0.007922,0.008108,
0.046092,0.007220,0.008406,0.009111,0.008265,0.008459,
0.048096,0.007520,0.008756,0.009489,0.008608,0.008811,
0.050100,0.007821,0.009107,0.009866,0.008950,0.009162,
0.052104,0.008122,0.009457,0.010243,0.009293,0.009513,
0.054108,0.008422,0.009807,0.010620,0.009635,0.009864,
0.056112,0.008723,0.010157,0.010997,0.009977,0.010214,
0.058116,0.009024,0.010507,0.011373,0.010318,0.010565,
0.060120,0.009324,0.010858,0.011749,0.010659,0.010915,
0.062124,0.009625,0.011208,0.012125,0.011001,0.011266,
0.064128,0.009926,0.011558,0.012500,0.011341,0.011616,
0.066132,0.010226,0.011908,0.012875,0.011682,0.011965,
0.068136,0.010527,0.012258,0.013250,0.012022,0.012315,
0.070140,0.010827,0.012608,0.013624,0.012362,0.012664,
0.072144,0.011128,0.012959,0.013998,0.012702,0.013014,
0.074148,0.011428,0.013309,0.014372,0.013041,0.013363,
0.076152,0.011729,0.013659,0.014745,0.013380,0.013712,
0.078156,0.012029,0.014009,0.015118,0.013719,0.014060,
0.080160,0.012330,0.014359,0.015491,0.014057,0.014408,
0.082164,0.012630,0.014709,0.015863,0.014396,0.014757,
0.084168,0.012931,0.015059,0.016234,0.014733,0.015104,
0.086172,0.013231,0.015409,0.016606,0.015071,0.015452,
0.088176,0.013531,0.015759,0.016976,0.015408,0.015799,
0.090180,0.013832,0.016109,0.017347,0.015744,0.016147,
0.092184,0.014132,0.016460,0.017717,0.016081,0.016494,
0.094188,0.014432,0.016810,0.018086,0.016417,0.016840,
0.096192,0.014732,0.017160,0.018455,0.016752,0.017186,
0.098196,0.015033,0.017510,0.018823,0.017087,0.017533,
0.100200,0.015333,0.017860,0.019191,0.017422,0.017878,
0.102204,0.015633,0.018210,0.019559,0.017756,0.018224,
0.104208,0.015933,0.018560,0.019926,0.018090,0.018569,
0.106212,0.016233,0.018910,0.020292,0.018423,0.018914,
0.108216,0.016533,0.019260,0.020658,0.018756,0.019258,
0.110220,0.016833,0.019610,0.021024,0.019089,0.019603,
0.112224,0.017133,0.019960,0.021389,0.019421,0.019947,
0.114228,0.017433,0.020310,0.021753,0.019753,0.020290,
0.116232,0.017733,0.020659,0.022117,0.020084,0.020634,
0.118236,0.018033,0.021009,0.022480,0.020414,0.020977,
0.120240,0.018333,0.021359,0.022842,0.020745,0.021319,
0.122244,0.018633,0.021709,0.023204,0.021074,0.021662,
0.124248,0.018933,0.022059,0.023566,0.021403,0.022004,
0.126253,0.019233,0.022409,0.023926,0.021732,0.022345,
0.128257,0.019533,0.022759,0.024287,0.022060,0.022686,
0.130261,0.019832,0.023109,0.024646,0.022388,0.023027,
0.132265,0.020132,0.023459,0.025005,0.022715,0.023368,
0.134269,0.020432,0.023808,0.025363,0.023041,0.023708,
0.136273,0.020731,0.024158,0.025721,0.023367,0.024048,
0.138277,0.021031,0.024508,0.026077,0.023693,0.024387,
0.140281,0.021330,0.024858,0.026434,0.024018,0.024726,
0.142285,0.021630,0.025207,0.026789,0.024342,0.025064,
0.144289,0.021929,0.025557,0.027144,0.024666,0.025403,
0.146293,0.022229,0.025907,0.027498,0.024989,0.025740,
0.148297,0.022528,0.026257,0.027851,0.025311,0.026078,
0.150301,0.022828,0.026606,0.028204,0.025633,0.026414,
0.152305,0.023127,0.026956,0.028556,0.025954,0.026751,
0.154309,0.023426,0.027306,0.028907,0.026275,0.027087,
0.156313,0.023726,0.027655,0.029257,0.026595,0.027423,
0.158317,0.024025,0.028005,0.029607,0.026915,0.027758,
0.160321,0.024324,0.028354,0.029956,0.027233,0.028092,
0.162325,0.024623,0.028704,0.030304,0.027551,0.028427,
0.164329,0.024922,0.029054,0.030651,0.027869,0.028760,
0.166333,0.025221,0.029403,0.030997,0.028186,0.029094,
0.168337,0.025520,0.029753,0.031343,0.028502,0.029427,
0.170341,0.025819,0.030102,0.031688,0.028817,0.029759,
0.172345,0.026118,0.030451,0.032032,0.029132,0.030091,
0.174349,0.026417,0.030801,0.032375,0.029446,0.030422,
0.176353,0.026716,0.031150,0.032717,0.029759,0.030753,
0.178357,0.027014,0.031500,0.033059,0.030072,0.031084,
0.180361,0.027313,0.031849,0.033399,0.030384,0.031413,
0.182365,0.027612,0.032198,0.033739,0.030695,0.031743,
0.184369,0.027910,0.032548,0.034078,0.031005,0.032072,
0.186373,0.028209,0.032897,0.034416,0.031315,0.032400,
0.188377,0.028507,0.033246,0.034753,0.031624,0.032728,
0.190381,0.028806,0.033595,0.035089,0.031932,0.033055,
0.192385,0.029104,0.033944,0.035424,0.032240,0.033382,
0.194389,0.029403,0.034293,0.035758,0.032546,0.033708,
0.196393,0.029701,0.034642,0.036091,0.032852,0.034034,
0.198397,0.029999,0.034991,0.036424,0.033157,0.034359,
0.200401,0.030297,0.035340,0.036755,0.033462,0.034683,
0.202405,0.030595,0.035689,0.037085,0.033765,0.035007,
0.204409,0.030893,0.036038,0.037415,0.034068,0.035331,
0.206413,0.031192,0.036387,0.037743,0.034370,0.035653,
0.208417,0.031489,0.036735,0.038071,0.034671,0.035976,
0.210421,0.031787,0.037084,0.038397,0.034971,0.036297,
0.212425,0.032085,0.037432,0.038722,0.035270,0.036618,
0.214429,0.032383,0.037781,0.039047,0.035569,0.036938,
0.216433,0.032681,0.038129,0.039370,0.035866,0.037258,
0.218437,0.032978,0.038477,0.039692,0.036163,0.037577,
0.220441,0.033276,0.038825,0.040014,0.036459,0.037896,
0.222445,0.033574,0.039174,0.040334,0.036754,0.038214,
0.224449,0.033871,0.039521,0.040653,0.037049,0.038531,
0.226453,0.034168,0.039869,0.040971,0.037342,0.038848,
0.228457,0.034466,0.040217,0.041287,0.037634,0.039164,
0.230461,0.034763,0.040565,0.041603,0.037926,0.039479,
0.232465,0.035060,0.040912,0.041918,0.038217,0.039793,
0.234469,0.035357,0.041259,0.042231,0.038506,0.040107,
0.236473,0.035654,0.041606,0.042544,0.038795,0.040421,
0.238477,0.035951,0.041953,0.042855,0.039083,0.040733,
0.240481,0.036248,0.042300,0.043165,0.039370,0.041045,
0.242485,0.036545,0.042647,0.043474,0.039656,0.041356,
0.244489,0.036842,0.042993,0.043782,0.039941,0.041667,
0.246493,0.037139,0.043339,0.044088,0.040225,0.041976,
0.248497,0.037435,0.043685,0.044393,0.040508,0.042285,
0.250501,0.037732,0.044031,0.044697,0.040790,0.042594,
0.252505,0.038028,0.044376,0.045000,0.041071,0.042901,
0.254509,0.038325,0.044721,0.045302,0.041352,0.043208,
0.256513,0.038621,0.045066,0.045602,0.041631,0.043514,
0.258517,0.038917,0.045410,0.045901,0.041909,0.043819,
0.260521,0.039213,0.045754,0.046199,0.042186,0.044123,
0.262525,0.039509,0.046098,0.046496,0.042462,0.044427,
0.264529,0.039805,0.046441,0.046791,0.042737,0.044729,
0.266533,0.040101,0.046784,0.047085,0.043012,0.045031,
0.268537,0.040396,0.047127,0.047378,0.043285,0.045332,
0.270541,0.040692,0.047469,0.047669,0.043557,0.045633,
0.272545,0.040987,0.047810,0.047959,0.043828,0.045932,
0.274549,0.041283,0.048151,0.048248,0.044098,0.046231,
0.276553,0.041578,0.048492,0.048535,0.044367,0.046528,
0.278557,0.041873,0.048832,0.048821,0.044635,0.046825,
0.280561,0.042168,0.049171,0.049105,0.044901,0.047121,
